,epoch,total time,train loss,val loss,test loss,train Precision,val Precision,test Precision,train Recall,val Recall,test Recall,train F1,val F1,test F1,train ROC,val ROC,test ROC,train Jaccard Score,val Jaccard Score,test Jaccard Score,train Confusion Matrix,val Confusion Matrix,test Confusion Matrix
0,0,35.106361865997314,1.2769554962537117,1.3073358608409762,1.3088118241478999,0.7717527893073379,0.8651068158697863,0.8643067846607669,0.7818455366098295,0.45927846187081445,0.474622030237581,0.7767663798555084,0.6000141113384605,0.612757058208435,0.7145145041339807,0.6750083805728495,0.680567594066159,0.6350106529640306,0.42858582804152806,0.44170854271356785,"[[10995  5994]
 [ 5655 20267]]","[[5405  663]
 [5006 4252]]","[[1078  138]
 [ 973  879]]"
1,1,70.79339408874512,1.4855775728466964,1.401298627257347,1.5012582515676816,0.7759849039165094,0.806174777603349,0.8072033898305084,0.7773319959879639,0.8320371570533592,0.8228941684665226,0.7766578658289811,0.8189018232073566,0.8149732620320855,0.7174669868691365,0.763414755191149,0.7617760316016824,0.6348656227354359,0.6933393339333933,0.6877256317689531,"[[11172  5817]
 [ 5772 20150]]","[[4216 1852]
 [1555 7703]]","[[ 852  364]
 [ 328 1524]]"
2,2,105.47233724594116,1.9194803108416854,1.4953319077690443,1.6769627953569095,0.7808614650294469,0.7983680480996349,0.7919137466307278,0.7825785047450042,0.803197234823936,0.7931965442764579,0.7817190420223117,0.8007753607581305,0.7925546263825196,0.7237396614607357,0.7468524077877096,0.7378811668750711,0.6416574410880911,0.6677442528735632,0.6563896336014299,"[[11296  5693]
 [ 5636 20286]]","[[4190 1878]
 [1822 7436]]","[[ 830  386]
 [ 383 1469]]"
3,3,139.51722884178162,2.145426414374794,1.627921206007401,1.618378543605407,0.7803779685154536,0.7995824634655533,0.788102261553589,0.7821541547720083,0.8687621516526247,0.8655507559395248,0.781265052116448,0.8327380027954652,0.8250128667009778,0.7231448859680278,0.7682637389772682,0.7555549832329201,0.6410459086885039,0.7134113890367216,0.7021462987297415,"[[11283  5706]
 [ 5647 20275]]","[[4052 2016]
 [1215 8043]]","[[ 785  431]
 [ 249 1603]]"
4,4,174.16225361824036,2.1422268994862126,3.0273264249165854,3.1066696693499884,0.7846023753699504,0.7607350632560717,0.7554222427318874,0.7874778180695934,0.8898250162022034,0.8839092872570194,0.7860374670286298,0.8202319908398467,0.8146305051007713,0.7288086600501595,0.7314154744821169,0.7240270120495624,0.647497303812726,0.6952485441809435,0.6872376154492024,"[[11385  5604]
 [ 5509 20413]]","[[3477 2591]
 [1020 8238]]","[[ 686  530]
 [ 215 1637]]"
5,5,208.84816479682922,2.564458448972021,1.7394603302081426,1.665740042924881,0.7854777854777855,0.8053858621119561,0.813810110974106,0.7870534680965975,0.6977748973860445,0.712742980561555,0.7862648373670418,0.7477284565078998,0.7599309153713298,0.7295382709251014,0.7202618718967139,0.7321938587018302,0.6478059312884994,0.5970976984933912,0.6128133704735376,"[[11417  5572]
 [ 5520 20402]]","[[4507 1561]
 [2798 6460]]","[[ 914  302]
 [ 532 1320]]"
6,6,242.93516182899475,0.7169447287562347,0.5594403773546219,0.5515987711648146,0.8123828827106199,0.8360460069444444,0.8318059299191375,0.8194969523956485,0.8322531864333549,0.8331533477321814,0.8159244109005013,0.8341452852657789,0.83247909360669,0.7653609313158417,0.7916209900525377,0.7882872001818803,0.6890813546126897,0.7154796174203732,0.7130314232902033,"[[12083  4906]
 [ 4679 21243]]","[[4557 1511]
 [1553 7705]]","[[ 904  312]
 [ 309 1543]]"
7,7,277.4117169380188,0.576393499704344,0.6731486681848764,0.6819761618971825,0.8151000953288846,0.8927355278093076,0.8895921237693389,0.8246277293418718,0.6796284294664074,0.6830453563714903,0.8198362321897712,0.7717404636330185,0.7727550397067807,0.769603875854643,0.7775202134148121,0.7769667571331137,0.6946800558967859,0.628320351507889,0.6296665007466401,"[[12140  4849]
 [ 4546 21376]]","[[5312  756]
 [2966 6292]]","[[1059  157]
 [ 587 1265]]"
8,8,312.5305244922638,0.5774163665870825,0.5490248446663221,0.5280270334333181,0.815662742699893,0.8060728744939272,0.8074222668004012,0.8232775248823393,0.8602289911427954,0.8693304535637149,0.8194524440348654,0.8322708746995506,0.8372334893395735,0.7696939746372966,0.772237105986691,0.7767704899397521,0.6941291266872662,0.7127259710041167,0.7200357781753131,"[[12166  4823]
 [ 4581 21341]]","[[4152 1916]
 [1294 7964]]","[[ 832  384]
 [ 242 1610]]"
9,9,347.1596179008484,0.5808937847614288,0.6027920541663965,0.5701286743084589,0.8131218786931493,0.804916482823826,0.8085218306154656,0.822814597639071,0.8276085547634479,0.8299136069114471,0.8179395240925738,0.8161048090749321,0.819078070876632,0.7671374771702331,0.7607884566829763,0.7652857508241446,0.6919608097586296,0.6893387314439946,0.6935920577617328,"[[12087  4902]
 [ 4593 21329]]","[[4211 1857]
 [1596 7662]]","[[ 852  364]
 [ 315 1537]]"
10,10,381.58019852638245,0.5858104989110005,0.5503621314962704,0.5841376297175884,0.8158146292968302,0.802730940312403,0.7924528301886793,0.8230846385309776,0.8381939943832362,0.8390928725701944,0.8194335093614978,0.8200792602377807,0.8151062155782848,0.7697741163106356,0.7619612028607017,0.7521944626008866,0.6941019551709554,0.6950291088222122,0.6879150066401063,"[[12172  4817]
 [ 4586 21336]]","[[4161 1907]
 [1498 7760]]","[[ 809  407]
 [ 298 1554]]"
